asking_price_sek,land_area_sqm,living_area_sqm,number_rooms,year_published,month_published,latitude,longitude,typology_AGRICULTURAL_ESTATE,typology_APARTMENT,typology_ESTATE_WITHOUT_CULTIVATION,typology_FORESTING_ESTATE,typology_HOMESTEAD,typology_HOUSE,typology_LINKED_HOUSE,typology_OTHER,typology_PLOT,typology_ROW_HOUSE,typology_TERRACED_HOUSE,typology_TWIN_HOUSE,typology_VACATION_HOME,typology_VACATION_HOUSE,typology_WINTERIZED_VACATION_HOME
2495000.0,0.0,107.0,4.0,2024,12,58.4905202237,16.9240415178,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1395000.0,0.0,48.5,2.0,2024,12,58.560318,16.171618,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
690000.0,0.0,84.0,3.0,2024,12,59.6122742,16.491415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6750000.0,0.0,100.0,5.0,2024,12,63.3817558,13.1740847,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10000000.0,6.7,386.0,7.0,2024,12,59.59117477803871,13.697721808451105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1550000.0,0.0,61.0,2.0,2024,12,59.373339900000005,13.51762122939131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2295000.0,0.0,87.0,4.0,2024,12,59.41385475,13.49505453123575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9950000.0,2538.0,172.3,4.0,2024,12,59.12534543681093,17.538416338314516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2195000.0,0.0,72.0,3.0,2024,12,59.4224137,13.5484585,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3350000.0,0.0,54.0,2.0,2024,12,59.3672028,17.98714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2495000.0,0.0,68.0,3.0,2024,12,59.23903189999999,18.1040943,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10750000.0,2533.0,176.5,5.0,2024,12,59.12514924875223,17.539305393160163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3495000.0,550.0,155.0,7.0,2024,12,59.4057443,13.5940954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1650000.0,0.0,53.0,2.0,2024,12,59.4046063,13.5073137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1295000.0,0.0,83.0,3.0,2024,12,59.4062534,13.525376953283175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1195000.0,0.0,82.0,3.0,2024,12,59.406360750000005,13.521509850000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2650000.0,0.0,105.0,5.0,2024,12,59.4230623,13.5447685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1795000.0,0.0,57.0,2.0,2024,12,59.3803825,13.4999285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1395000.0,0.0,60.5,2.0,2024,12,58.29411,11.5574131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2195000.0,0.0,84.5,3.0,2024,12,55.7094574,13.1650028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8750000.0,814.0,222.0,6.0,2024,12,59.2631454,17.231329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1650000.0,0.0,63.0,3.0,2024,12,57.80838,14.272443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1795000.0,0.0,80.0,3.0,2024,12,57.9245093146,12.5277089307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,102.0,4.0,2024,12,56.3472366,12.8172836,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2195000.0,0.0,118.0,5.0,2024,12,59.2047729,17.906414,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2095000.0,0.0,55.0,2.0,2024,12,59.2745588,15.2404791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1250000.0,4.5,79.0,3.0,2024,12,61.3594320713,17.0025287169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3450000.0,0.0,135.0,5.0,2024,12,59.32759129999999,13.5220043,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2695000.0,0.0,65.0,2.0,2024,12,57.7275429,11.9329348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1785000.0,0.0,54.0,2.0,2024,12,57.66236,11.9185839,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,57.0,2.0,2024,12,59.4045622,13.505605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2595000.0,3751.0,228.0,5.0,2024,12,59.50397409611823,13.441717846779913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2995000.0,0.0,108.0,3.0,2024,12,59.38793331311942,13.490219099788957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1895000.0,0.0,75.0,3.0,2024,12,59.4026125,13.4863846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,66.5,2.0,2024,12,59.3813237,13.5194066,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3050000.0,1117.0,178.0,6.0,2024,12,60.9085299801785,15.0233991487237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1295000.0,0.0,134.0,5.0,2024,12,59.4109167,13.6700656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2995000.0,1084.0,300.0,7.0,2024,12,59.30653179306739,14.10761098958568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3695000.0,0.0,111.0,4.0,2024,12,59.75678,18.70532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2995000.0,0.0,102.0,4.0,2024,12,57.922012,12.499398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2995000.0,0.0,72.2,3.0,2024,12,59.83417,17.6306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2250000.0,0.0,33.0,2.0,2024,12,59.2751236,18.128355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3490000.0,0.0,95.0,3.0,2024,12,56.68625184217789,16.22552582872693,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9500000.0,2623.0,179.9,6.0,2024,12,59.125088514406315,17.54103114616116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1350000.0,0.0,53.0,2.0,2024,12,58.5986188,16.1528079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2375000.0,810.0,222.0,4.0,2024,12,56.9772579034,12.4503475451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3800000.0,774.0,207.0,7.0,2024,12,56.9112530876,12.5067494325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1495000.0,0.0,58.8,2.0,2024,12,59.4173965,17.8384247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1795000.0,0.0,55.0,2.0,2024,12,57.9312365663,12.5468064137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1895000.0,0.0,78.0,4.0,2024,12,56.91591,12.472577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695000.0,0.0,67.0,2.0,2024,12,58.5934002,16.1796562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,70.0,2.0,2024,12,57.939648,12.5190115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2250000.0,0.0,56.0,2.0,2024,12,59.4121268,17.8675324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,44.6,2.0,2024,12,57.93299,12.5388775,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3595000.0,0.0,110.0,4.0,2024,12,57.9284883157,12.5360185622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,77.0,2.0,2024,12,56.87972,14.8061962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1195000.0,0.0,41.0,1.0,2024,12,56.9061084876,12.4933755398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2295000.0,665.0,126.0,4.0,2024,12,58.6672013,17.081724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3495000.0,0.0,40.5,2.0,2024,12,59.3356857,18.0291214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
650000.0,0.0,61.0,2.0,2024,12,57.7554855,12.9519491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6390000.0,1009.0,148.0,6.0,2024,12,56.8749713251,12.5516646692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1495000.0,0.0,16.0,1.0,2024,12,59.3525,17.9971733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4995000.0,0.0,62.0,2.0,2024,12,59.33327,18.013731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2395000.0,0.0,61.5,2.0,2024,12,55.69209,13.1912289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4195000.0,0.0,78.0,3.0,2024,12,57.70684,11.9229546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2395000.0,0.0,80.0,3.0,2024,12,59.2364159,15.1543617,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
995000.0,2010.0,172.0,5.0,2024,12,57.1080392396,13.0449969621,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1495000.0,0.0,50.0,2.0,2024,12,59.2549324,15.2172518,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
995000.0,0.0,36.0,1.0,2024,12,59.774654,18.694777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2995000.0,897.0,174.0,7.0,2024,12,56.9097423533,12.5067038656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
995000.0,0.0,52.5,2.0,2024,12,56.89464,12.507543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3195000.0,2470.0,175.0,9.0,2024,12,56.9776236837,12.4506563288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2795000.0,0.0,108.0,4.0,2024,12,58.36319,15.696787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3495000.0,0.0,106.5,4.0,2024,12,58.39321,15.584833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1395000.0,0.0,32.0,1.0,2024,12,58.394375,15.6279335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2295000.0,306.0,137.0,5.0,2024,12,56.8936381399,12.5069592746,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1695000.0,0.0,71.0,3.5,2024,12,58.39568,15.668248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3195000.0,0.0,87.0,3.0,2024,12,55.70973,13.2178917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2395000.0,0.0,49.5,2.0,2024,12,59.2612343,18.0799274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2895000.0,0.0,81.0,3.0,2024,12,59.37210579999999,13.511412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1950000.0,0.0,81.6,2.0,2024,12,55.7153854,13.2364178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1575000.0,0.0,24.0,1.0,2024,12,55.7196236,13.2336893,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3095000.0,0.0,24.0,1.0,2024,12,59.346302,18.05372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6995000.0,0.0,68.0,2.0,2024,12,59.3482,18.0607357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3995000.0,0.0,76.3,3.0,2024,12,59.397182,18.041561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
595000.0,0.0,41.5,1.0,2024,12,60.6206474,16.7714825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2425000.0,0.0,50.0,2.0,2024,12,55.71935,13.2336884,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750000.0,0.0,107.0,3.0,2024,12,59.3846429,13.4949515,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4995000.0,620.0,112.0,5.0,2024,12,55.558025,12.924678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1825000.0,0.0,69.3,2.0,2024,12,55.7062378,13.1600657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000.0,637.0,241.0,4.0,2024,12,58.27813,13.7152309,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2595000.0,599.0,110.0,4.0,2024,12,58.35001,15.2702913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2400000.0,0.0,50.5,2.0,2024,12,59.45801429999999,17.8970803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2595000.0,0.0,65.0,2.0,2024,12,57.7767361229,14.156293236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2795000.0,0.0,71.0,3.0,2024,12,57.77124,14.15782,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4490000.0,2001.0,198.0,8.0,2024,12,57.843544,12.5116558,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2095000.0,0.0,63.1,2.5,2024,12,57.7591,14.183554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3295000.0,0.0,136.0,5.0,2024,12,59.4289154,13.55469625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2350000.0,0.0,51.0,2.0,2024,12,59.5070899,18.0757953,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3095000.0,192.0,129.0,0.0,2024,12,57.7699430283,14.309581091,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2395000.0,0.0,45.0,2.0,2024,12,59.3013878,17.9919586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6495000.0,1255.0,239.0,7.0,2024,12,59.336707871823606,13.499216461354207,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3190000.0,0.0,89.0,3.5,2024,12,60.66482689999999,17.1222539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3495000.0,0.0,88.0,3.0,2024,12,55.5693436,12.9746857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2595000.0,0.0,105.0,5.0,2024,12,59.391333,13.523539,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1395000.0,0.0,73.0,3.0,2024,12,56.8955647983,12.5088357925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4695000.0,0.0,72.0,3.0,2024,12,59.3578873,17.9975338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
